Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Songwriter Royalties Withheld	Earnings (USD)
2025-02-01	2025-01	Spotify	Your Artist Name	Midnight Line	QZ1234500001	193000000001	18422	100	0	64.48
2025-02-01	2025-01	Apple Music	Your Artist Name	Midnight Line	QZ1234500001	193000000001	3120	100	0	24.65
2025-02-01	2025-01	Amazon	Your Artist Name	Midnight Line	QZ1234500001	193000000001	980	100	0	5.31
2025-02-01	2025-01	YouTube Music	Your Artist Name	Midnight Line	QZ1234500001	193000000001	7640	100	0	6.12
2025-02-01	2025-01	Spotify	Your Artist Name	Paper Crowns (feat. J. Vega)	QZ1234500002	193000000001	9210	100	0	32.24
2025-02-01	2025-01	Apple Music	Your Artist Name	Paper Crowns (feat. J. Vega)	QZ1234500002	193000000001	1450	100	0	11.46
2025-02-01	2025-01	Tidal	Your Artist Name	Paper Crowns (feat. J. Vega)	QZ1234500002	193000000001	410	100	0	5.62
2025-02-01	2025-01	Spotify	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	26110	100	0	91.39
2025-02-01	2025-01	Apple Music	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	4820	100	0	38.08
2025-02-01	2025-01	Amazon	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	1510	100	0	8.18
2025-02-01	2025-01	Pandora	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	21400	100	0	3.85
2025-03-01	2025-02	Spotify	Your Artist Name	Midnight Line	QZ1234500001	193000000001	20115	100	0	70.40
2025-03-01	2025-02	Apple Music	Your Artist Name	Midnight Line	QZ1234500001	193000000001	3402	100	0	26.88
2025-03-01	2025-02	Spotify	Your Artist Name	Paper Crowns (feat. J. Vega)	QZ1234500002	193000000001	10044	100	0	35.15
2025-03-01	2025-02	Spotify	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	28850	100	0	100.98
2025-03-01	2025-02	Apple Music	Your Artist Name	Fort Worth Nights	QZ1234500003	193000000002	5110	100	0	40.37
2025-03-01	2025-02	Spotify	Your Artist Name	Neon Chapel	QZ1234500004	193000000003	4120	100	0	14.42
2025-03-01	2025-02	Apple Music	Your Artist Name	Neon Chapel	QZ1234500004	193000000003	760	100	0	6.00
2025-03-01	2025-02	Spotify	Your Artist Name	Refund Correction	QZ1234500001	193000000001	-220	100	0	-0.77
